,artId,external relations_y,freedom and democracy_y,political system_y,economy_y,welfare and quality of life_y,fabric of society_y,social groups_y,orientation,group,vote,Âge,Genre_F,Genre_H,District_Brig,District_Conthey,District_Entremont,District_Goms,District_Hérens,District_Leuk,District_Martigny,District_Monthey,District_Sierre,District_Sion,District_St-Maurice,District_Visp,District_Westlich Raron,District_Östlich Raron
32,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,57,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,oui,36,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,non,22,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,54,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,66,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,63,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,42,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,61,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,oui,39,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,55,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,non,45,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,46,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,non,24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,39,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,55,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,non,57,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,non,69,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,oui,54,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,52,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,64,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,non,47,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,non,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,abst,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,non,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,62,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,43,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,67,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,44,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,non,64,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,55,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,non,40,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,64,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,non,46,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,non,28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,non,35,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,oui,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,68,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,non,59,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
