,orientation_art,progvscons_art,vote,orientation_dep,progvscons_dep,Genre_e,Âge_18-30,Âge_30-45,Âge_45-65,Âge_65+,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_1_d,embedding_2_d,embedding_3_d,embedding_4_d,embedding_5_d,embedding_6_d,embedding_7_d,embedding_8_d
0,-1,-1,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
1,-1,-1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
2,-1,-1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
3,-1,-1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
4,0,1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
5,0,1,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
6,0,-1,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
7,1,1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
8,-1,1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
9,-1,-1,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
10,-1,-1,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
11,0,-1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
12,0,-1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
13,0,-1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
14,-1,-1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
15,0,1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
16,0,0,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
17,1,1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
18,0,-1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
19,-1,-1,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
20,1,-1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
21,0,0,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
22,0,1,1.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
23,-1,-1,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
24,0,-1,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
25,-1,-1,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
26,-1,-1,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
27,0,-1,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
28,-1,-1,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
29,0,-1,0.0,0.225,0.35,1,0,1,0,0,0.021033565,0.17142938,-0.0040800935,0.0061531276,0.18602905,0.029641671,-0.058094744,0.0025065811,0.030775262,-0.053959638,-0.27292606,-0.050405186,0.0325264,0.30055854
