,name,group,Âge,District,Genre,vote,orientation,progvscons
95,Narcisse CRETTENAND,VLR,65+,Martigny,H,0.12195121951219512,0.3333333333333333,0.10526315789473684
96,Natacha MARET,PDC,30-45,Entremont,F,0.36585365853658536,0.2857142857142857,0.05263157894736842
97,Natascha FARQUET,VLR,30-45,Martigny,F,0.3076923076923077,-0.5263157894736842,-0.6388888888888888
98,Nicolas BONVIN,PDC,30-45,Sierre,H,0.34146341463414637,0.3333333333333333,0.07894736842105263
99,Nicolas CHABLAIS,VLR,30-45,Monthey,H,0.1111111111111111,0.0,0.3333333333333333
100,Nicolas METTAN,PDC,45-65,St-Maurice,H,0.42857142857142855,-0.4,-0.4074074074074074
101,Olivier DERIVAZ,AdG,45-65,Monthey,H,0.25,-0.7,-0.7297297297297297
102,Pascale FUMEAUX,AC,30-45,Conthey,F,0.06666666666666667,-0.7647058823529411,-0.8571428571428571
103,Patricia CASAYS,PDC,65+,Monthey,F,0.2222222222222222,0.11764705882352941,-0.09090909090909091
104,Paul BURGENER,CVPO,65+,Visp,H,0.0,-0.11764705882352941,-0.1
105,Peter BURRI,ZUK-VS,45-65,Visp,H,-0.17073170731707318,-0.14285714285714285,0.0
106,Peter BÄHLER,SVPO,65+,Goms,H,-0.13513513513513514,0.5789473684210527,0.7714285714285715
107,Philippe BENDER,VLR,65+,Martigny,H,0.3170731707317073,0.09523809523809523,0.10526315789473684
108,Pierre DARBELLAY,PDC,30-45,Entremont,H,0.2222222222222222,0.75,0.3333333333333333
109,Pierre SCHERTENLEIB,AdG,65+,Sion,H,0.2682926829268293,-0.8095238095238095,-0.8421052631578947
110,Pierre-Alain RAEMY,VLR,45-65,Sion,H,0.3170731707317073,-0.5238095238095238,-0.6842105263157895
111,Rafael WELSCHEN,CVPO,30-45,Brig,H,-0.2857142857142857,0.5384615384615384,0.48148148148148145
112,Rahel ZIMMERMANN,ZUK-VS,30-45,Visp,F,0.125,-0.7,-0.6216216216216216
113,Rainer MATHIER,CVPO,45-65,Leuk,H,0.024390243902439025,0.42857142857142855,0.3157894736842105
114,Ralph DESSIMOZ,PDC,45-65,Conthey,H,0.4594594594594595,0.21052631578947367,0.0
115,Ralph KUMMER,SVPO,30-45,Brig,H,0.1111111111111111,0.23076923076923078,0.6923076923076923
116,Raymonde SCHOCH,VLR,65+,St-Maurice,F,0.3170731707317073,-0.6666666666666666,-0.5789473684210527
117,Remo SCHNYDER,SVPO,45-65,Brig,H,-0.0625,0.375,0.5862068965517241
118,Romain UDRY,VLR,18-30,Conthey,H,0.3225806451612903,0.26666666666666666,0.03571428571428571
119,Romano AMACKER,SVPO,18-30,Westlich Raron,H,-0.21951219512195122,0.5238095238095238,0.7368421052631579
120,Ruth STALDER,VLR,45-65,Sion,F,0.21951219512195122,-0.23809523809523808,-0.21052631578947367
121,Sabine FOURNIER,LES VERTS,45-65,St-Maurice,F,0.3170731707317073,-0.8095238095238095,-0.8947368421052632
122,Sandro FONTANA,PDC,45-65,Monthey,H,0.2926829268292683,0.09523809523809523,0.07894736842105263
123,Sophie BORNET,PDC,45-65,Conthey,F,0.2972972972972973,0.10526315789473684,0.02857142857142857
124,Sophie DUCREY,AC,18-30,Monthey,F,0.36585365853658536,-0.7142857142857143,-0.8421052631578947
125,Stéphane CLAVIEN,VLR,45-65,Sierre,H,0.4,-0.42857142857142855,-0.6756756756756757
126,Thomas MATTER,CSPO,45-65,Leuk,H,0.21951219512195122,-0.047619047619047616,-0.21052631578947367
127,Vincent BOAND,UDC,30-45,Sion,H,-0.2571428571428571,0.5789473684210527,0.45454545454545453
128,Vincent GÜNTHER,LES VERTS,45-65,Martigny,H,0.3170731707317073,-0.8095238095238095,-0.8947368421052632
129,Vincent LUYET,AC,30-45,Sion,H,0.24324324324324326,-0.8095238095238095,-0.8857142857142857
130,Yann RODUIT,PDC,45-65,Sion,H,0.375,0.19047619047619047,0.10810810810810811
